# Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Na/Fe]
CD-57_1633	E.Caffau+,AAP, 441, 533, 2005			6013	4.34	-0.84	-0.84	
CD-57_1633	H.L.Yan+,AAP, 585, 102, 2016	07 06 28.95	-57 27 29.1	5873	4.28	-0.9	-0.9	
CD-57_1633	P. E. Nissen+,AAP, 530, A15, 2011	07 06 28.95	-57 27 29.1	5873	4.28	-0.9	-0.9	
CD-57_6303	E.Caffau+,AAP, 441, 533, 2005			4869	4.62	-1.39	-1.39	
CD-57_806	E.Caffau+,AAP, 441, 533, 2005			5792	4.2	-0.91	-0.91	
CD-59_1024	E.Caffau+,AAP, 441, 533, 2005			5894	4.49	-1.69	-1.69	
CD-59_6824	E.Caffau+,AAP, 441, 533, 2005			6070	4.17	-1.54	-1.54	
CD-60_545	E.Caffau+,AAP, 441, 533, 2005			5744	4.35	-0.82	-0.82	
CD-61_282	P.E.Nissen+,AAP, 511, L10, 2010	01 36 05.80	-61 05 03.0	5759	4.31	-1.23	-1.23	-0.11
CD-61_282	R.G.Gratton+,AAP, 404, 187, 2003	01 36 05.80	-61 05 03.0	5831	4.53	-1.21	-1.26	-0.3
CD-61_282	E.Caffau+,AAP, 441, 533, 2005			5831	4.53	-1.25	-1.25	
CD-61_282	H.L.Yan+,AAP, 585, 102, 2016	01 36 05.80	-61 05 03.0	5759	4.31	-1.23	-1.23	
CD-61_282	P. E. Nissen+,AAP, 530, A15, 2011	01 36 05.80	-61 05 03.0	5759	4.31	-1.23	-1.23	
CD-65_253	E.Caffau+,AAP, 441, 533, 2005	04 38 22.40	-65 24 57.6	5351	4.57	-1.52	-1.52	
CD-68_74	E.Caffau+,AAP, 441, 533, 2005			5757	4.01	-0.99	-0.99	
CD-69_109	E.Caffau+,AAP, 441, 533, 2005			5486	2.63	-0.95	-0.95	
COOL340	D.Yong+,ApJ, 599, 1357, 2003	02 17 26.35	+27 08 19.3	4800	5	-0.4	-0.4	
CPD-27_666	E.Caffau+,AAP, 441, 533, 2005	04 52 09.90	-27 03 51.0	5970	4.45	-1.54	-1.54	
CS22166-004	G.W.Preston+,AJ, 120, 1014, 2000	00 52 11.44	-11 04 40.1				-1.3	
CS22166-041	G.W.Preston+,AJ, 120, 1014, 2000	01 10 56.36	-13 42 43.5	7050	4.5	-1.32	-1.32	
CS22170-028	G.W.Preston+,AJ, 120, 1014, 2000	00 51 07.37	-11 08 31.9	8050	3.6	-0.68	-0.68	
CS22174-008	G.W.Preston+,AJ, 120, 1014, 2000	01 11 45.47	-10 40 03.8	7320	4.2	-1.48	-1.48	
