# Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Al/Fe]	[Ba/Fe]	[Ca/Fe]	[Ce/Fe]	[C/Fe]	[Co/Fe]	[Cr/Fe]	[Eu/Fe]	[Mg/Fe]	[Mn/Fe]	[N/Fe]	[Ni/Fe]	[O/Fe]	[Si/Fe]	[Sr/Fe]	[Ti/Fe]	[V/Fe]	[Y/Fe]	[Zr/Fe]	log-e(Li)
CS22898-027	T.Masseron+,ApJ, 751, 14, 2012	21 05 45.09	-18 36 57.5	6000	3.5	-2.49	-2.54		2.56			2.11			1.92	0.39		1.46		<1.45							2.18
CS22898-027	W.Aoki+,PASJ, 54, 933, 2002	21 05 45.09	-18 36 57.5	6250	3.7	-2.25	-2.26	-0.84	2.18	0.42		2.32		-0.07		0.39	-0.62	1.04	0.05			1.02	0.48				
CS22898-027	A.McWilliam+,AJ, 109, 2736, 1995	21 05 45.09	-18 36 57.5																								
CS22898-027	W.Aoki+,ApJ, 580, 1149, 2002	21 05 45.09	-18 36 57.5	6250	3.7	-2.25	-2.26		2.28		2.19				1.92							0.98			0.76	1.05	
CS22898-027	G.W.Preston+,AJ, 122, 1545, 2001	21 05 45.09	-18 36 57.5	6300	4	-2	-2.17		2.22			2.07			1.93	0.11		1.34				0.7	0.3		0.98	1.41	
CS22898-027	D.M.Allen+,AAP, 548, A34, 2012	21 05 45.09	-18 36 57.5	6240	3.72	-2.3	-2.3		2.21			2.43			1.9			1.38				0.69	0.39		0.63	1.3	
CS22898-043	I.U.Roederer+,AJ, 147, 136, 2014	21 10 36.77	-21 44 51.8	6160	2.15	-2.8	-2.83	-0.71	-0.72	0.32	<0.91	<1.2	0.16	-0.07	<0.73	0.38	-0.16	<2.6	0.2	0.04	0.04	-0.24	0.48	0.44	<0.09	0.17	<1.6
CS22898-043	G.W.Preston+,AJ, 132, 85, 2006	21 10 36.77	-21 44 51.8	6050	2.4	-2.5	-2.83	-0.75	-0.68	0.41				-0.26		0.29	-0.52				-0.11	-0.15	0.36	0.4			
CS22898-047	I.U.Roederer+,AJ, 147, 136, 2014	21 05 59.65	-21 06 56.6	5150	2.4	-3.45	-3.51	-0.71	-0.8	0.53	<0.94	0.4	0.2	-0.3	<0.55	0.55	-0.44	<1.28	0.06	<1.39	0.82	-0.14	0.33		-0.38	<0.13	1.08
CS22937-072	I.U.Roederer+,AJ, 147, 136, 2014	21 14 40.62	-37 24 51.8	5500	1.75	-2.71	-2.72	-0.69	-0.41	0.51	<-0.01	-0.04	0.14	-0.17	-0.18	0.5	-0.28	<1.29	0.07		0.65	0.3	0.43	0.24	-0.35	0.28	<0.86
CS22937-072	G.W.Preston+,AJ, 132, 85, 2006	21 14 40.62	-37 24 51.8	5450	2.1	-2.5	-2.74	-0.75	-0.14	0.55		0.51	0.13	-0.16	0.1	0.35	-0.77				0.44	0.17	0.46		-0.08	0.16	
CS22940-077	I.U.Roederer+,AJ, 147, 136, 2014	20 41 33.71	-59 50 35.2	5350	1.35	-3.1	-3.1	-0.68	-0.87	0.55	<0.19	<0.32	0.07	-0.09	<0.19	0.58	-0.4	<2.37	-0.06		0.34	0.44	0.5	0.33	-0.19	0.27	<0.8
CS22940-077	G.W.Preston+,AJ, 132, 85, 2006	20 41 33.71	-59 50 35.2	5400	2	-2.5	-2.93	-0.74	-0.48	0.57		<0.5		-0.17	<-0.15	0.4	-0.77				0.33	0.53	0.53		0.35		
CS22940-121	I.U.Roederer+,AJ, 147, 136, 2014	20 55 10.87	-58 00 55.2	5200	1.15	-3.13	-3.14	-0.58	-0.14	0.54	<0.14	<-0.12	0.08	-0.2	0.25	0.58	-0.4	<1.31	0.16		0.75	0.28	0.39	0.2	-0.42	0.28	<0.63
CS22940-121	G.W.Preston+,AJ, 132, 85, 2006	20 55 10.87	-58 00 55.2	5400	2	-2.5	-2.89	-0.54	0.14	0.45		<0.26	0.17	-0.23	0.58	0.41	-0.75				0.58	0.37	0.46	0.24	0.02		
CS22941-005	G.W.Preston+,AJ, 120, 1014, 2000	23 29 52.83	-35 13 03.8	7450	4.2	-2.43	-2.43		0.29	0.32						0.51	0.47					-0.33	0.56				
CS22941-012	G.W.Preston+,AJ, 120, 1014, 2000	23 28 29.73	-32 48 46.4	7200	4.2	-2.03	-2.03		0.08	0.47				-0.04		0.29	-0.25					0.06	0.62				
CS22941-012	C.Sneden+,ApJ, 592, 504, 2003	23 28 29.73	-32 48 46.4	7200	4.2	-2.03	-2.03		0.11			<0.99								0.58		0.03					
CS22941-012	I.I.Ivans+,ApJ, 592, 906, 2003	23 28 29.73	-32 48 46.4	7200	4.6	-2.01	-2	-0.47	-0.01	0.49			<0.2	0.05	<1.28	0.23	-0.42		0.29	<2.93	0.13	0.2	0.7	<1.16	0.56		
CS22941-017	I.U.Roederer+,AJ, 147, 136, 2014	23 32 50.18	-33 59 25.5	5070	2.2	-3.08	-3.11	-0.68	-0.46	0.45	<0.45	0.17	0.06	-0.15	0.39	0.52	-0.45	<0.53	0.08	<0.99	0.79	-0.02	0.32	0.05	-0.3	0.38	1.04
CS22941-027	I.U.Roederer+,AJ, 147, 136, 2014	23 34 58.09	-36 52 05.7	6050	1.7	-2.71	-2.71	-0.72	-0.59	0.32	<0.72	<1.23	0.18	0.03	<0.58	0.3	-0.09	<2.58	0.09		0.03	-0.27	0.41	0.25	-0.56	0.11	<1.55
CS22941-027	G.W.Preston+,AJ, 132, 85, 2006	23 34 58.09	-36 52 05.7	6400	2.8	-2.2	-2.36	-0.86	-0.28	0.25				0.02	<0.59	0.04	-0.41				-0.06	-0.23	0.53	0.34		0.54	
CS22942-002	I.U.Roederer+,AJ, 147, 136, 2014	00 46 35.88	-24 43 02.3	5010	2	-3.53	-3.61	-0.75	-1.24	0.4	<0.48	0.35	0.24	-0.27	<0.45	0.56	-0.75	0.73	0.04	<1.21	0.82	-1.73	0.37	0.29	<-0.84	<0.29	0.89
CS22942-011	I.U.Roederer+,AJ, 147, 136, 2014	00 54 13.00	-25 04 33.9	4930	1.85	-2.83	-2.88	-0.78	-0.6	0.33	<0.06	0.28	-0.07	-0.21	0.18	0.44	-0.4	-0.46	0.08	0.83	0.89	0.07	0.15	-0.21	-0.49	0.04	0.92
CS22942-019	W.Aoki+,PASJ, 54, 933, 2002	00 57 18.14	-25 26 09.7	5000	2.4	-2.64	-2.64	-0.33	1.87	0.7		2.12				0.56		0.94				1.8	0.46				
CS22942-019	W.Aoki+,ApJ, 580, 1149, 2002	00 57 18.14	-25 26 09.7	5000	2.4	-2.64	-2.64		1.96		1.59				0.82							1.77			1.6	1.72	
CS22942-019	G.W.Preston+,AJ, 122, 1545, 2001	00 57 18.14	-25 26 09.7	4900	1.8	-2.67	-2.67		1.45	0.32		2.32			0.79	0.75		0.84				1.5	0.22				
CS22942-035	I.U.Roederer+,AJ, 147, 136, 2014	01 03 57.47	-23 52 45.3	4940	1.85	-2.99	-3.08	-0.65	-0.6	0.42	<0.1	0.22	0	-0.19	0.02	0.47	-0.31	0.09	0.14	<0.84		-0.07	0.25	0.01	-0.58	0.09	0.87
CS22943-0095	D.Fabbian+,AAP, 500, 1143, 2009	20 27 29.97	-46 50 56.3	6349	4.18	-2.24	-2.29					0.42								0.93							
CS22943-045	E.Arnone+,AAP, 430, 507, 2005	20 13 33.28	-43 49 22.5	6140	3.9		-2.5			0.53				-0.04		0.35							0.49				
CS22943-059	I.U.Roederer+,AJ, 147, 136, 2014	20 19 00.66	-43 17 22.8	5810	3.6	-2.64	-2.95	-0.81	-0.9	0.54	<1.23	0.22	-0.02	-0.16	<0.9	0.43	-0.46	<1.12	-0.08		0.36	-0.01	0.31	0.75		0.51	1.65
CS22943-095	I.U.Roederer+,AJ, 147, 136, 2014	20 27 29.97	-46 50 56.3	6140	3.8	-2.44	-2.52	-0.73	-0.32	0.51	<1.27	0.45	0.06	-0.18	<0.91	0.4	-0.34	<2.39	0.07	0.37	0.68	0.44	0.47	0.31	0.01	0.48	2.18
CS22943-095	P.E.Nissen+,AAP, 469, 319, 2007	20 27 29.97	-46 50 56.3	6349	4.18	-2.24	-2.24																				
CS22943-095	A.M.Amarsi+,AAP, 622, L4, 2019	20 27 29.99	-46 50 56.33	6314	4.17	-2.2	-2.2					0.33								0.84							
CS22943-132	I.U.Roederer+,MNRAS, 445, 2970, 2014	20 22 50.91	-43 13 39.4	5850	3.6	-2.67	-2.67		-0.05						0.86							0.27					
CS22943-132	I.U.Roederer+,AJ, 147, 136, 2014	20 22 50.91	-43 13 39.4	5850	3.6	-2.67	-2.63	-0.65	-0.09	0.49	<1.35	0.65	0.16	-0.18	0.82	0.53	-0.36	0.45	0.03	<0.47	0.76	0.22	0.36	0.13	-0.14	0.46	2.08
CS22943-137	I.U.Roederer+,AJ, 147, 136, 2014	20 26 29.00	-43 00 42.7	5400	3.1	-3.39	-3.64	-0.38	<-0.65	0.15	<1.63	0.64	0.41	-0.39	<1.48	0.73	0.03	<2.71	0.42	<1.83	0.5	-1.62	0.16	<1.06	<0.21	<0.91	1.89
CS22943-201	I.U.Roederer+,AJ, 147, 136, 2014	20 36 28.81	-43 49 30.2	5970	2.45	-2.69	-2.68	-0.67	-0.54	0.53	<1.06	1.88	0.07	-0.15	<0.73	0.62	-0.26	<1.55	-0.03	0.24		0.02	0.43	<0.34	-0.28	0.39	<2.04
CS22943-201	I.U.Roederer+,ApJ, 784, 158, 2014	20 36 28.81	-43 49 30.2	5970	2.45	-2.69	-2.68	-0.67	-0.54	0.53	<1.06	1.88	0.07	-0.15	<0.73	0.62	-0.26	<1.55	-0.03	0.24		0.02	0.43	<0.34	-0.28	0.39	<2.04
CS22944-014	I.U.Roederer+,AJ, 147, 136, 2014	21 41 12.20	-14 33 32.4	6020	3.7	-2.62	-2.64	-0.71	-0.49	0.49	<1.25	0.45	0.09	-0.11	<1	0.49	-0.4	<1.21	0.02		0.49	0.07	0.4		-0.39	0.38	2.25
CS22944-032	I.U.Roederer+,AJ, 147, 136, 2014	21 47 43.23	-13 40 22.8	5090	2.3	-3.15	-3.22	-0.82	-0.91	0.46	<0.41	0.28	0.18	-0.13	<-0.08	0.55	-0.23	<0.09	0.31	<0.79	0.84	-0.2	0.28	0.11	-0.49	0.01	1
CS22944-032	D.K.Lai+,ApJ, 681, 1524, 2008	21 47 43.23	-13 40 22.8	5300	2.87	-3	-2.98	-0.82	-0.67	0.31		0.4	0.38	-0.28	<0.72	0.37	-0.48	<-0.35	0.13	0.89		-0.17	0.39	0.23	-0.27	0.07	
CS22944-039	G.W.Preston+,AJ, 132, 85, 2006	21 45 12.27	-14 41 24.8	5350	1.5	-2.3	-2.41	-0.83	-0.19	0.4		-0.22	-0.09	-0.15	0.18	0.37	-0.78				0.47	0.47	0.23	0.22	-0.27	-0.05	
CS22944-061	I.U.Roederer+,AJ, 147, 136, 2014	21 50 18.45	-13 45 24.0	5920	3.6	-2.95	-2.96	-0.74	-0.46	0.42	<1.33	0.44	0.25	-0.28	<1.16	0.44	-0.39	<1.33	0.04	<0.81	0.54	-0.29	0.39		<-0.02	<0.75	2.13
CS22945-017	I.U.Roederer+,MNRAS, 445, 2970, 2014	23 20 55.63	-63 15 36.8	6080	3.7	-2.73	-2.73		0.49						1.13							0.39					
CS22945-017	I.U.Roederer+,AJ, 147, 136, 2014	23 20 55.63	-63 15 36.8	6080	3.7	-2.73	-2.89	-0.59	0.64	0.41	<1.59	1.94	0.09	-0.23	1.29	0.42	-0.47	2.21		0.78		0.54	0.31	<0.85	0.23		<1.51
CS22945-024	I.U.Roederer+,AJ, 147, 136, 2014	23 36 42.49	-65 35 43.7	5120	2.35	-2.59	-2.58	-0.28	1.43	0.46	1.14	2.3	-0.2	-0.16	0.44	0.46	-0.48	0.25	-0.02	0.88		0.29	0.16	0.28	0.37	0.69	<0.75
CS22945-028	P.S.Barklem+,AAP, 439, 129, 2005	23 31 13.50	-66 29 57.0	5126	2.55	-2.66	-2.66	-0.96	-0.18	0.35		0.16	0.06	-0.21		0.3	-0.59		0.05			0.16	0.28				
CS22945-028	I.U.Roederer+,AJ, 147, 136, 2014	23 31 13.50	-66 29 57.0	4900	1.75	-2.89	-2.92	-0.67	-0.32	0.43	<0.53	0.17	-0.1	-0.22	0.26	0.47	-0.39	0.08	0.06	0.84	0.81	-0.2	0.12	-0.23	-0.57	-0.08	0.8
CS22945-028	L.Zhang+,AAP, 528, A92, 2011	23 31 13.50	-66 29 57.0				-2.66					0.34															
CS22945-028	N.Christlieb+,AAP, 428, 1027, 2004	23 31 13.50	-66 29 57.0			-2.38																					
CS22945-028	J.Ren+,AAP, 537, A118, 2012	23 31 13.50	-66 29 57.0	5126	2.55	-2.66	-2.49					0.17															
CS22945-031	I.U.Roederer+,AJ, 147, 136, 2014	23 47 31.98	-67 30 35.9	5820	3.55	-3.03	-3.29	-0.55	-0.45	0.65	<1.66	0.59	0.27	-0.14	<1.36	0.6	-0.6	<3.16	-0.08	<0.93	0.44	0.34	0.51	<1.05	-0.05	0.72	<1.59
CS22945-056	I.U.Roederer+,AJ, 147, 136, 2014	23 53 19.80	-65 29 39.5	6000	1.75	-2.83	-2.82	-0.57	-0.41	0.44	<1.11	<1.59	0.36	0	0.67	0.49	-0.21	<2.59	0.1		0.05	-0.11	0.43	0.2	-0.53	0.48	<1.98
CS22945-056	G.W.Preston+,AJ, 132, 85, 2006	23 53 19.80	-65 29 39.5	5800	2.2	-2.5	-2.9	-0.69	-0.25	0.54			0.09	-0.11	0.34	0.61	-0.78				0.11	0.18	0.53	0.36	-0.24		
CS22945-058	I.U.Roederer+,MNRAS, 445, 2970, 2014	23 52 37.80	-66 05 01.7	5990	3.65	-2.71	-2.71		0.28						1.13							0.34					
CS22945-058	I.U.Roederer+,AJ, 147, 136, 2014	23 52 37.80	-66 05 01.7	5990	3.65	-2.71	-2.98	-0.63	0.56	0.57	<1.53	<0.95	0.21	-0.16	1.4	0.4	-0.38	<3.05	-0.02	0.67	0.17	0.61	0.7	0.8	0.22	0.97	1.91
CS22945-063	I.U.Roederer+,AJ, 147, 136, 2014	00 02 36.99	-65 45 21.2	5730	1.7	-2.84	-2.84	-0.81	-1.39	0.52	<0.62	<0.91	0.25	-0.11	<0.55	0.28	-0.16	<0.71	0.11	0.04	0.4	-1.35	0.44	0.38	<-0.68	<0.05	<1.39
CS22946-011	G.W.Preston+,AJ, 120, 1014, 2000	01 19 11.68	-19 23 58.1	6850	4.2	-2.59	-2.59		1.21	0.6				-0.15		0.61	0.05					0.35	0.67				
CS22947-187	A.McWilliam+,AJ, 109, 2757, 1995	19 18 31.60	-47 13 31.0	5160	1.3	-2.6	-2.32		0.96	0.34		0.99			0.55	0.33			0.08			0.43					
CS22947-187	I.U.Roederer+,AJ, 147, 136, 2014	19 18 31.60	-47 13 31.0	5300	1.4	-2.58	-2.58	-0.58	1.53	0.51	0.88	1.25	-0.05	-0.06	0.55	0.56	-0.21	1.7	0.17	0.62	0.8	0.29	0.31	0.02	-0.14	0.33	<1.99
CS22947-187	T.Masseron+,ApJ, 751, 14, 2012	19 18 31.60	-47 13 31.0	5200	1.5	-2.56	-2.61		1.33			1.13			0.69	0.51		1.78		0.72							<0.5
CS22947-187	A.McWilliam+,AJ, 109, 2736, 1995	19 18 31.60	-47 13 31.0																								
CS22948-006	G.W.Preston+,AJ, 132, 85, 2006	21 33 17.69	-39 39 42.8	5550	1.95	-2.5	-2.62	-0.86	-0.68	0.61		0.49	0.07	-0.16	-0.11	0.31	-0.83				0.42	-0.22	0.35				
CS22948-027	B.Barbuy+,AAP, 429, 1031, 2005	21 37 45.77	-39 27 22.3	4800	1.8	-2.47	-2.47	-0.13	2.21	0.56	2.2	2.53		-0.12	1.87	0.29		1.85	0.02			0.95	0.41		1.13		
CS22948-027	V.Hill+,AAP, 353, 557, 2000	21 37 45.77	-39 27 22.3	4800	1.8	-2.47	-2.47		2.21		2.2	2.02			2.09	0.37		1.94				1			1.03		
CS22948-027	W.Aoki+,ApJ, 655, 492, 2007	21 37 45.77	-39 27 22.3	5000	1.9	-2.3	-2.26		2.35	0.59		2.13		-0.07		0.53		2.43					0.59				
CS22948-027	W.Aoki+,ApJ, 567, 1166, 2002	21 37 45.77	-39 27 22.3	4600	1	-2.57	-2.57		1.8	0.55	1.99	2.12		0.25	1.56	0.57		1.94					0.69		0.83		<1
CS22948-027	G.W.Preston+,AJ, 122, 1545, 2001	21 37 45.77	-39 27 22.3	4600	0.8	-2.6	-2.79		1.62			2.22				0.33		1.24					0.22				
CS22948-066	S.M.Andrievsky+,AAP, 494, 1083, 2009	21 44 51.10	-37 27 55.0	5100	1.8	-3.14	-3.14		-0.99																		
CS22948-066	A.McWilliam+,AJ, 109, 2757, 1995	21 44 51.10	-37 27 55.0	5020	1.45	-3.1	-2.86		-1.08	0.18		-0.54				0.1			-0.09			-0.69					
CS22948-066	R.Cayrel+,AAP, 416, 1117, 2004	21 44 51.10	-37 27 55.0	5100	1.8	-3.14	-3.15	-0.8		0.3		0.08	0.36	-0.25		0.27	-0.15		0.18	0.98	0.34		0.36				
CS22948-066	M.Spite+,AAP, 430, 655, 2005	21 44 51.10	-37 27 55.0	5100	1.8	-3.14	-3.14					0.09						1.31		0.94							<0
CS22948-066	A.McWilliam+,AJ, 109, 2736, 1995	21 44 51.10	-37 27 55.0																								
CS22948-066	M.Spite+,AAP, 541, A143, 2012	21 44 51.10	-37 27 55.0	5100	1.8	-3.14	-3.14			0.49																	
CS22948-066	S.M.Andrievsky+,AAP, 509, A88, 2010	21 44 51.10	-37 27 55.0	5100	1.8	-3.14	-3.14									0.35											
CS22948-066	P.Francois+,AAP, 476, 935, 2007	21 44 51.10	-37 27 55.0	5100	1.8	-3	-3.14		-0.99		<-0.04				<-0.58							-0.41			-1.02	-0.07	
CS22948-066	S.M.Andrievsky+,AAP, 464, 1081, 2007	21 44 51.10	-37 27 55.0	5100	1.8	-3.14	-3.14																				
CS22948-066	I.U.Roederer+,AJ, 147, 136, 2014	21 44 51.10	-37 27 55.0	4830	1.55	-3.18	-3.5	-0.67	-0.83	0.45	<0.32	-0.43	0.18	-0.32	<0.27	0.46	-0.08	1.36	0.14	<1.38	0.53	-0.35	0.25	0.25	-0.55	-0.08	<0.45
CS22948-066	M.Spite+,AAP, 455, 291, 2006	21 44 51.10	-37 27 55.0	5100	1.8	-3.14	-3.14					0.17						1.31									
CS22948-066	I.U.Roederer+,ApJ, 784, 158, 2014	21 44 51.10	-37 27 55.0	4830	1.55	-3.18	-3.5	-0.67	-0.83	0.45	<0.32	-0.43	0.18	-0.32	<0.27	0.46	-0.08	1.36	0.14	<1.38	0.53	-0.35	0.25	0.25	-0.55	-0.08	<0.45
CS22948-066	M.Spite+,AAP, 528, A9, 2011	21 44 51.10	-37 27 55.0	5100	1.8	-3.14	-3.14																				
CS22948-066	S.M.Andrievsky+,AAP, 481, 481, 2008	21 44 51.10	-37 27 55.0	5100	1.8	-3.14	-3.14	-0.11																			
CS22948-093	S.M.Andrievsky+,AAP, 494, 1083, 2009	21 50 31.52	-41 07 49.3	6360	4.3	-3.3	-3.3		0.22																		
CS22948-093	W.Aoki+,ApJ, 698, 1803, 2009	21 50 31.52	-41 07 49.3	6380	4.4	-3.43	-3.48									0.11						0.23					1.96
CS22948-093	P.Bonifacio+,AAP, 462, 851, 2007	21 50 31.52	-41 07 49.3	6356	4.25	-3.3	-3.29																				1.94
CS22948-093	P.Bonifacio+,AAP, 501, 519, 2009	21 50 31.52	-41 07 49.3	6356	4.25	-3.3	-3.29		-0.29	0.31			0.42	-0.19		0.02	-0.74		0.01		-0.1	-0.07	0.55				
CS22948-093	M.Spite+,AAP, 541, A143, 2012	21 50 31.52	-41 07 49.3	6360	4.3	-3.43	-3.43			0.58																	
CS22948-093	I.U.Roederer+,ApJ, 711, 573, 2010	21 50 31.52	-41 07 49.3	6480	4	-3.35	-3.36	-0.69	0.3	0.45	<2.21	<1.83		-0.21	<1.88	0.2	-0.16	<4.13	0.04	<1.9	0	0.09	0.44	<1.3	<0.51	<1.15	<2.35
CS22948-093	S.M.Andrievsky+,AAP, 509, A88, 2010	21 50 31.52	-41 07 49.3	6360	4.3	-3.43	-3.43									0.16											
CS22948-093	S.M.Andrievsky+,AAP, 464, 1081, 2007	21 50 31.52	-41 07 49.3	6360	4.3	-3.43	-3.43																				
CS22948-093	I.U.Roederer+,AJ, 147, 136, 2014	21 50 31.52	-41 07 49.3	6540	3.85	-3.42	-3.32	-0.8	0.24	0.46	<2.18	<1.64		-0.24	<1.87	0.27	-0.36	<2.69	0.29	<0.41	0.08	-0.05	0.28	<1.31	<0.39	<1.12	2.04
CS22948-093	L.Sbordone+,AAP, 522, A26, 2010	21 50 31.52	-41 07 49.3	6365	4.25	-3.31	-3.31																				1.935
CS22948-093	S.M.Andrievsky+,AAP, 481, 481, 2008	21 50 31.52	-41 07 49.3	6360	4.3	-3.43	-3.43	-0.02																			
CS22948-104	T.Masseron+,ApJ, 751, 14, 2012	21 51 45.75	-37 52 30.9	5000	2.3	-2.76	-2.81		-0.22			0.43			-0.11	0.36		0.08		<0.82							0.92
CS22949-008	D.M.Allen+,AAP, 548, A34, 2012	23 16 58.74	-03 20 52.5	6000	3.74	-2.45	-2.45		0.77		1.45	1.93		-0.02								-0.23	0.52		1.12	1.47	
CS22949-008a	T.Masseron+,ApJ, 751, 14, 2012	23 16 58.74	-03 20 52.5	6300	4	-2.14	-2.19		1.41			1.61			<0.67	0.59		0.46									<1
CS22949-008b	T.Masseron+,ApJ, 751, 14, 2012	23 16 58.74	-03 20 52.5	5300	4.7	-2.14	-2.19		1.41			1.61			<1.47	0.59		0.46									<1
CS22949-030	I.U.Roederer+,AJ, 147, 136, 2014	23 21 22.91	-03 45 54.7	5890	3.6	-2.88	-3.01	-0.66	-0.74	0.54	<1.48	0.65	0.08	-0.26	<1.19	0.52	-0.44	<2.18	0.03	0.58	0.64	-0.04	0.35		-0.23		1.93
CS22949-037	S.M.Andrievsky+,AAP, 494, 1083, 2009	23 26 29.80	-02 39 58.0	4900	1.5	-3.97	-3.97		-0.63																		
CS22949-037	A.McWilliam+,AJ, 109, 2757, 1995	23 26 29.80	-02 39 58.0	4810	2.1	-3.5	-3.82		-0.38	0.75		0.84				1.01						0.28					
CS22949-037	R.Cayrel+,AAP, 416, 1117, 2004	23 26 29.80	-02 39 58.0	4900	1.5	-3.97	-3.99	-0.12		0.38		1.28	0.28	-0.36		1.56	-0.48	2.68	-0.04	2.08	0.83		0.44				
CS22949-037	M.Spite+,AAP, 430, 655, 2005	23 26 29.80	-02 39 58.0	4900	1.5	-3.97	-3.97					1.24						2.24		2.03							<-0.3
CS22949-037	A.McWilliam+,AJ, 109, 2736, 1995	23 26 29.80	-02 39 58.0																								
CS22949-037	M.Spite+,AAP, 541, A143, 2012	23 26 29.80	-02 39 58.0	4900	1.5	-3.97	-3.97			0.64																	
CS22949-037	S.M.Andrievsky+,AAP, 509, A88, 2010	23 26 29.80	-02 39 58.0	4900	1.5	-3.97	-3.97									1.44											
CS22949-037	J.E.Norris+,ApJ, 561, 1034, 2001	23 26 29.80	-02 39 58.0	4900	1.7	-3.79	-3.62	-0.58	-1.06	0.3		1.12	0.34	-0.69	<0.75	1.03	-1.13	2.69	-0.08		0.91	-0.04	0.22	<0.55	0.05		
CS22949-037	S.M.Andrievsky+,AAP, 464, 1081, 2007	23 26 29.80	-02 39 58.0	4900	1.5	-3.97	-3.97																				
CS22949-037	I.U.Roederer+,AJ, 147, 136, 2014	23 26 29.80	-02 39 58.0	4630	0.95	-4.2	-4.38	0.26	-0.6	0.67	<0.92	1.16	0.2	-0.39	<0.69	1.56	-0.64	2.67	0.1	<2.39	1.52	0.49	0.28	<0.64	-0.08	0.65	<0.13
CS22949-037	E.Depagne+,AAP, 390, 187, 2002	23 26 29.80	-02 39 58.0	4900	1.5	-3.9	-3.99	-0.12	-0.61	0.38		1.28	0.28	-0.36	0.05	1.56	-0.83	2.68	-0.04	2.14	0.53	0.4	0.44		-0.02		
CS22949-037	M.Spite+,AAP, 455, 291, 2006	23 26 29.80	-02 39 58.0	4900	1.5	-3.97	-3.97					1.34						2.34									
CS22949-037	I.U.Roederer+,ApJ, 784, 158, 2014	23 26 29.80	-02 39 58.0	4630	0.95	-4.21	-4.38	0.26	-0.6	0.67	<0.92	1.16	0.2	-0.39	<0.69	1.56	-0.64	2.67	0.1	<2.39	1.52	0.49	0.28	<0.64	-0.08	0.65	<0.13
CS22949-037	A.Arentsen+,AAP, 621, A108, 2019	23 26 29.8	-02 39 58	4630	1	-4.38	-4.38		-0.6			1.92															
CS22949-037	F.Spite+,AAP, 611, A30, 2018	23 26 29.80	-02 39 58.03	4900	1.5	-4	-3.97		-0.73													0.15			-0.04	0.52	
CS22949-048	A.McWilliam+,AJ, 109, 2757, 1995	23 26 07.40	-05 50 08.0	4750	1.1	-3.3	-3			0.2		0.12				0.03			0.1			-1.62					
CS22949-048	I.U.Roederer+,AJ, 147, 136, 2014	23 26 07.40	-05 50 08.0	4620	0.95	-3.37	-3.55	-0.8	-1.45	0.38	<0.16	0.17	0.04	-0.15	<-0.1	0.4	-0.03	1.02	0.33	<1.71	0.8	-1.2	0.24	-0.11	-1.2		0.44
CS22949-048	A.McWilliam+,AJ, 109, 2736, 1995	23 26 07.40	-05 50 08.0																								
CS22949-048	M.Spite+,AAP, 528, A9, 2011	23 26 07.40	-05 50 08.0	4800	1.5	-3.25	-3.25																				
CS22950-046	A.McWilliam+,AJ, 109, 2757, 1995	20 21 28.40	-13 16 33.6	4640	0.85	-3.5	-3.23		-1.42	0.3		-0.1				0.19			0.12			-0.77					
CS22950-046	I.U.Roederer+,AJ, 147, 136, 2014	20 21 28.40	-13 16 33.6	4380	0.5	-3.64	-4.12	-0.63	-1.01	0.49	<0.35	0.61	0.02	-0.33	<0.23	0.58	-0.71	1.13	0.08	<2.39	1.08	0.1	-0.01		-0.39	0.15	<-0.05
CS22950-046	J.G.Cohen+,AJ, 124, 470, 2002	20 21 28.40	-13 16 33.6	4730	1.3	-3.27																					
CS22950-046	A.McWilliam+,AJ, 109, 2736, 1995	20 21 28.40	-13 16 33.6																								
CS22950-046	J.G.Cohen+,ApJ, 778, 56, 2013	20 21 28.40	-13 16 33.6	4730	1.3	-3.27																					
CS22950-046	E.Carretta+,AJ, 124, 481, 2002	20 21 28.40	-13 16 33.6	4730	1.3	-3.3	-3.26	-0.51	-1.43	0.26				-0.56		0.41	-0.98				0.52	-0.33	0.16				
CS22950-046	Y.Ishimaru+,ApJ, 600, L47, 2004	20 21 28.40	-13 16 33.6	4730	1.3	-3.3	-3.34		-1.27						<-0.18							-0.13					
CS22950-173	G.W.Preston+,AJ, 120, 1014, 2000	20 35 31.20	-15 53 30.0	6800	4.5	-2.5	-2.5		-0.09	0.2				-0.05		0.36	-0.17					-0.66	0.6				
CS22950-173	M.Spite+,AAP, 571, A40, 2014	20 35 31.20	-15 53 30.0	6615	4.1	-2.6	-2.6		-0.58													-0.54					
CS22950-173	L.Sbordone+,AAP, 522, A26, 2010	20 35 31.20	-15 53 30.0	6335	4.2	-2.78	-2.78																				2.199
CS22951-005	I.U.Roederer+,AJ, 147, 136, 2014	21 45 46.70	-46 04 58.3	5950	3.65	-2.67	-2.74	-0.83	-0.06	0.42	<1.2	0.34	0.1	-0.13	<0.62	0.34	-0.35	<1.36	0.01	0.38	0.4	0.1	0.37	0.58	-0.27	0.64	2.07
CS22951-059	I.U.Roederer+,AJ, 147, 136, 2014	21 50 26.00	-44 48 49.1	5120	2.35	-2.83	-2.84	-0.63	-0.73	0.47	<0.39	0.17	0.01	-0.26	0.33	0.48	-0.23	<0.81	0.19	<0.78	0.85	0.13	0.26	-0.47	-0.44	0.04	1.24
