# Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Al/Fe]	[Ba/Fe]	[Ca/Fe]	[Ce/Fe]	[C/Fe]	[Co/Fe]	[Cr/Fe]	[Eu/Fe]	[Mg/Fe]	[Mn/Fe]	[N/Fe]	[Ni/Fe]	[O/Fe]	[Si/Fe]	[Sr/Fe]	[Ti/Fe]	[V/Fe]	[Y/Fe]	[Zr/Fe]	log-e(Li)
HD178443	A.McWilliam+,AJ, 109, 2736, 1995	19 10 36.85	-43 16 36.2																								
HD186478	A.McWilliam+,AJ, 109, 2757, 1995	19 45 14.10	-17 29 27.0	4650	0.95	-2.7	-2.41		-0.18	0.22		-0.32			0.3	0.44			0.2			0.34					
HD186478	M.Spite+,AAP, 430, 655, 2005	19 45 14.10	-17 29 27.0	4700	1.3	-2.59	-2.59					-0.21						0.71		0.8							<-0.5
HD186478	A.McWilliam+,AJ, 109, 2736, 1995	19 45 14.10	-17 29 27.0																								
HD186478	C.J.Hansen+,AAP, 545, A31, 2012	19 45 14.10	-17 29 27.0	4730	1.5	-2.42	-2.42		0.25						0.5							0.08			0.01	0.31	
HD186478	S.M.Andrievsky+,AAP, 509, A88, 2010	19 45 14.10	-17 29 27.0	4700	1.3	-2.59	-2.59									0.54											
HD186478	P.Francois+,AAP, 476, 935, 2007	19 45 14.10	-17 29 27.0	4700	1.3	-2.6	-2.59		-0.09		0.01				0.47							0.29			-0.16	0.23	
HD186478	J.A.Johnson+,ApJ, 579, 616, 2002	19 45 14.10	-17 29 27.0				-2.43		-0.3													0.05			-0.26	0.14	
HD186478	S.Honda+,ApJS, 152, 113, 2004	19 45 14.10	-17 29 27.0																								
HD186478	I.U.Roederer+,ApJ, 724, 975, 2010	19 45 14.10	-17 29 27.0				-2.56																		-0.1		
HD186478	J.A.Johnson+,ApJ, 554, 888, 2001	19 45 14.10	-17 29 27.0	4525	0.85	-2.4	-2.44		-0.3		-0.23				0.36												
HD186478	S.Honda+,ApJ, 607, 474, 2004	19 45 14.10	-17 29 27.0	4720	1.6	-2.5	-2.49	-0.6	-0.2	0.4	0.16	-0.13	0	0.19	0.63	0.39	-0.29		-0.31		0.46	-0.01	0.35	0.2	-0.08	0.3	
HD186478	J.A.Johnson+,ApJS, 139, 219, 2002	19 45 14.10	-17 29 27.0	4525	0.85	-2.4	-2.59	-0.23	-0.14	0.44	-0.14		0.08	-0.19	0.51	0.7	-0.37		-0.07		0.73		0.2	-0.07	-0.1	0.3	
HD186478	S.M.Andrievsky+,AAP, 481, 481, 2008	19 45 14.10	-17 29 27.0	4700	1.3	-2.59	-2.59	0.09																			
HD186478	S.M.Andrievsky+,AAP, 494, 1083, 2009	19 45 14.10	-17 29 27.0	4700	1.3	-2.59	-2.59		-0.09																		
HD186478	R.Cayrel+,AAP, 416, 1117, 2004	19 45 14.10	-17 29 27.0	4700	1.3	-2.59	-2.57	-0.56		0.44		-0.26	0.12	-0.31		0.35	-0.53	0.49	-0.16	0.81	0.46		0.3				
HD186478	H.Li+,ApJ, 852, L31, 2018	19 45 14.1410795461	-17 29 27.071420634	4648	1.15		-2.55		-0.08			-0.33				0.52											<-0.22
HD186478	M.Spite+,AAP, 541, A143, 2012	19 45 14.10	-17 29 27.0	4700	1.3	-2.59	-2.59			0.56																	
HD186478	D.L.Burris+,ApJ, 544, 302, 2000	19 45 14.10	-17 29 27.0	4575	1.4	-2.2	-2.41		0.01						0.39							0.24			-0.15	0.25	
HD186478	S.M.Andrievsky+,AAP, 464, 1081, 2007	19 45 14.10	-17 29 27.0	4700	1.3	-2.59	-2.59																				
HD186478	I.U.Roederer+,AJ, 147, 136, 2014	19 45 14.10	-17 29 27.0	4540	0.65	-2.78	-2.75	-0.29	-0.2	0.5	-0.19	-0.41	-0.28	-0.32	0.23	0.63	-0.71	0.63	0.04	0.54	0.7	0.18	0.12	-0.21	-0.34	0.13	<-0.1
HD186478	M.Spite+,AAP, 455, 291, 2006	19 45 14.10	-17 29 27.0	4700	1.3	-2.59	-2.59					-0.13						0.71									
HD186478	I.U.Roederer+,ApJ, 698, 1963, 2009	19 45 14.10	-17 29 27.0	4600	1.45	-2.56	-2.56								0.51												
HD186478	M.Spite+,AAP, 528, A9, 2011	19 45 14.10	-17 29 27.0	4700	1.3	-2.59	-2.59																				
HD186478	J.Simmerer+,ApJ, 617, 1091, 2004	19 45 14.10	-17 29 27.0	4598	1.43	-2.56	-2.56					-0.22			0.54												
HD186478	J.J.Cowan+,ApJ, 627, 238, 2005	19 45 14.10	-17 29 27.0	4600	1.45	-2.56	-2.59								0.57											0.46	
HD186478	F.Spite+,AAP, 611, A30, 2018	14 02 31.84	+09 41 09.94	4700	1.3	-2.6	-2.59		-0.01						0.47							0.22			-0.16	0.23	
HD187861	S.VanEck+,AAP, 404, 291, 2003	19 56 26.95	-65 22 08.0	5320	2.4		-2.3				2															1.32	
HD19445	G.Israelian+,ApJ, 507, 805, 1998			5810	4.3	-2.15														0.86							
HD19445	G.Israelian+,ApJ,  557, L43, 2001	03 08 25.59	+26 19 51.4	5810	4.46	-1.88																					
HD19445	R.G.Gratton+,AAP, 354, 169, 2000	03 08 25.59	+26 19 51.4	6047	4.51	-1.97	-2.01					0.09								0.66							2.35
HD19445	M.Bergemann+,AAP, 522, A9, 2010	03 08 25.59	+26 19 51.4	5985	4.39	-1.96								-0.09													
HD19445	C.J.Hansen+,AAP, 545, A31, 2012	03 08 25.59	+26 19 51.4	5982	4.38	-2.13	-2.13		-0.02						0.37							0.13			-0.1	0.29	
HD19445	J.A.Rich+,ApJ, 701, 1519, 2009	03 08 25.59	+26 19 51.4	5853	4.41	-2.1	-2.1													0.75							
HD19445	G.Bihain+,AAP, 423, 777, 2004	03 08 25.59	+26 19 51.4	6095	4.45	-2.04																					
HD19445	T.V.Mishenina+,AAP, 370, 951, 2001	03 08 25.59	+26 19 51.4	6000	4	-1.89			-0.22	0.44						0.12					0.44						
HD19445	I.U.Roederer+,ApJ, 860, 125, 2018	03 08 25.58	+26 19 51.40	6055	4.49	-2.2	-2.14																				
