# Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Na/Fe]
J203226.1+000014	C.M.Sakari+,ApJ, 868, 110, 2018	20 32 26.16	+00 00 14.4	4612	0.79	-2.24	-2.24	0
J203622.6-071420	C.M.Sakari+,ApJ, 868, 110, 2018	20 36 22.56	-07 14 20.4	4283	0.07	-2.41	-2.41	
J203843.2-002333	C.M.Sakari+,ApJ, 868, 110, 2018	20 38 43.20	-00 23 31.2	4579	0.84	-2.89	-2.89	
J203858.9-025212	C.M.Sakari+,ApJ, 868, 110, 2018	20 38 59.04	-02 52 12.0	4280	0.06	-2.16	-2.16	-0.09
J20445584-2250597	T.T.Hansen+,ApJ, 858, 92, 2018	20 44 55.9	-22 50 59.8	4366	1	-2.3	-2.3	
J204923.3-362238	G.R.Ruchti+,ApJ, 737, 9, 2011	20 49 23.52	-36 22 37.2	4356	0.75	-2.1	-2.1	
J20492765-5124440	T.T.Hansen+,ApJ, 858, 92, 2018	20 49 27.7	-51 24 44.0	4250	1.09	-2.47	-2.47	
J205423.5-003310	C.M.Sakari+,ApJ, 868, 110, 2018	20 54 23.52	-00 33 10.8	4405	0.13	-2.62	-2.62	
J20542346-0033097	T.T.Hansen+,ApJ, 858, 92, 2018	20 54 23.5	-00 33 09.8	4351	0.68	-2.78	-2.78	
J2056+1438	H.Li+,ApJ, 931, 147, 2022	20 56 12.68	+14 38 00.89	6042	4.34	-2.48	-2.47	0.15
J20560913-1331176	T.T.Hansen+,ApJ, 858, 92, 2018	20 56 09.1	-13 31 17.7	4780	1.6	-2.3	-2.3	
J205849.2-035434	C.M.Sakari+,ApJ, 868, 110, 2018	20 58 49.20	-03 54 32.4	4831	1.65	-2.36	-2.36	
J210038.2-053916	G.R.Ruchti+,ApJ, 737, 9, 2011	21 00 38.16	-05 39 18.0	5014	1.56	-2.05	-2.05	
J21023752-5316132	T.T.Hansen+,ApJ, 858, 92, 2018	21 02 37.5	-53 16 13.3	5045	2.4	-2.44	-2.44	
J210634.7-495749	G.R.Ruchti+,ApJ, 737, 9, 2011	21 06 34.70	-49 57 50.0	5346	2.99	-2.72	-2.72	
J21063474-4957500	T.T.Hansen+,ApJ, 858, 92, 2018	21 06 34.7	-49 57 50.1	5238	2.82	-2.91	-2.91	
J21064294-6828266	T.T.Hansen+,ApJ, 858, 92, 2018	21 06 42.9	-68 28 26.7	5186	2.7	-2.76	-2.76	
J2109+1725	H.Li+,ApJ, 931, 147, 2022	21 09 58.02	+17 25 43.98	4936	2.12	-2.56	-2.57	0.32
J21095804-0945400	T.T.Hansen+,ApJ, 858, 92, 2018	21 09 58.1	-09 45 40.0	4492	0.98	-2.73	-2.73	
J2114-0616	H.Li+,ApJ, 931, 147, 2022	21 14 01.52	-06 16 10.30	4727	1.69	-2.55	-2.55	0.61
J21141350-5726363	T.T.Hansen+,ApJ, 858, 92, 2018	21 14 13.5	-57 26 36.2	4690	1.21	-2.69	-2.69	
J21152551-1503309	T.T.Hansen+,ApJ, 858, 92, 2018	21 15 25.5	-15 03 31.0	4722	1.47	-2.06	-2.06	
J211621.9-021342	C.M.Sakari+,ApJ, 868, 110, 2018	21 16 21.84	-02 13 40.8	4248	0.4	-2.58	-2.58	0.68
J21162185-0213420	T.T.Hansen+,ApJ, 858, 92, 2018	21 16 21.9	-02 13 42.0	4390	0.73	-2.23	-2.23	
J21224590-4641030	T.T.Hansen+,ApJ, 858, 92, 2018	21 22 45.9	-46 41 03.1	4652	1.42	-2.96	-2.96	
J21262525-2144243	T.T.Hansen+,ApJ, 858, 92, 2018	21 26 25.3	-21 44 24.3	4450	1.09	-2.81	-2.81	
J21291592-4236219	T.T.Hansen+,ApJ, 858, 92, 2018	21 29 15.9	-42 36 22.0	4650	1.15	-2.48	-2.48	
J213539.2-152631	G.R.Ruchti+,ApJ, 737, 9, 2011	21 35 39.36	-15 26 31.2	4500	0.87	-2.12	-2.12	
J21370807-0927347	T.T.Hansen+,ApJ, 858, 92, 2018	21 37 08.1	-09 27 34.6	4470	0.99	-2.46	-2.46	
J2141+3019	H.Li+,ApJ, 931, 147, 2022	21 41 42.21	+30 19 35.51	5956	4.44	-2.14	-2.14	0.12
J21513595-0543398	T.T.Hansen+,ApJ, 858, 92, 2018	21 51 36.0	-05 43 39.8	4530	0.66	-2.46	-2.46	
J215136.0-054340	C.M.Sakari+,ApJ, 868, 110, 2018	21 51 36.00	-05 43 40.8	4568	0.9	-2.47	-2.47	
J2156+0809	H.Li+,ApJ, 931, 147, 2022	21 56 56.70	+08 09 50.91	6300	4.16	-3	-3.01	-0.34
J2159+0308	H.Li+,ApJ, 931, 147, 2022	21 59 33.87	+03 08 44.07	4547	1.29	-2.83	-2.83	
J220211.8-441701	G.R.Ruchti+,ApJ, 737, 9, 2011	22 02 11.76	-44 17 02.4	5359	3.07	-2.36	-2.36	
J22021636-0536483	T.T.Hansen+,ApJ, 858, 92, 2018	22 02 16.4	-05 36 48.4	4668	0.93	-2.75	-2.75	
J220403.6-402918	G.R.Ruchti+,ApJ, 737, 9, 2011	22 04 03.62	-40 29 19.0	5219	2.75	-2.38	-2.38	
J2216+0246	H.Li+,ApJ, 931, 147, 2022	22 16 35.96	+02 46 17.01	4806	2.1	-2.56	-2.56	0.12
J2216+2232	H.Li+,ApJ, 931, 147, 2022	22 16 39.30	+22 32 50.38	4844	2.11	-2.81	-2.81	0.16
J22163596+0246171	T.T.Hansen+,ApJ, 858, 92, 2018	22 16 36.0	+02 46 17.1	4900	1.92	-2.37	-2.37	
J2217+2104	H.Li+,ApJ, 931, 147, 2022	22 17 50.59	+21 04 37.19	4499	1.59	-4.12	-4.12	1.11
J2221+0228	H.Li+,ApJ, 931, 147, 2022	22 21 48.83	+02 28 44.85	5425	2.69	-2.81	-2.81	-0.34
J2222-0138	H.Li+,ApJ, 931, 147, 2022	22 22 36.00	-01 38 27.61	5124	2.46	-2.97	-2.97	-0.29
J222235.9-013827	G.R.Ruchti+,ApJ, 737, 9, 2011	22 22 35.90	-01 38 27.0	5123	2.2	-2.83	-2.83	
J2224+0707	H.Li+,ApJ, 931, 147, 2022	22 24 24.87	+07 07 16.86	4344	0.86	-3.1	-3.1	0
J2226+3653	H.Li+,ApJ, 931, 147, 2022	22 26 23.23	+36 53 34.26	6008	4.46	-2.19	-2.19	0.1
J2227+1425	H.Li+,ApJ, 931, 147, 2022	22 27 52.19	+14 25 16.60	4976	1.86	-3.38	-3.38	-0.1
J2241+2924	H.Li+,ApJ, 931, 147, 2022	22 41 45.14	+29 24 28.14	6394	4.07	-3.73	-3.73	
J2242+2720	H.Li+,ApJ, 931, 147, 2022	22 42 45.51	+27 20 24.54	4759	1.56	-3.73	-3.73	-0.23
J2248+1455	H.Li+,ApJ, 931, 147, 2022	22 48 18.55	+14 55 42.64	5510	4.76	-2.38	-2.38	-0.33
J2249+0309	H.Li+,ApJ, 931, 147, 2022	22 49 30.78	+03 09 13.02	5136	2.3	-3.59	-3.59	-0.17
J224923.5-213029	G.R.Ruchti+,ApJ, 737, 9, 2011	22 49 23.52	-21 30 28.8	5218	2.67	-2.38	-2.38	
J2253+1134	H.Li+,ApJ, 931, 147, 2022	22 53 11.51	+11 34 10.90	4917	2.04	-2.51	-2.51	0.27
J2256+0215	H.Li+,ApJ, 931, 147, 2022	22 56 03.31	+02 15 50.30	5044	1.68	-2.27	-2.27	0.82
J2257+3859	H.Li+,ApJ, 931, 147, 2022	22 57 24.47	+38 59 51.05	5309	3.42	-2.65	-2.65	0.38
J22595884-1554182	T.T.Hansen+,ApJ, 858, 92, 2018	22 59 58.8	-15 54 18.2	4600	0.92	-2.64	-2.64	
J230222.8-683323	G.R.Ruchti+,ApJ, 737, 9, 2011	23 02 22.80	-68 33 21.6	5119	2.4	-2.42	-2.42	
J23022289-6833233	T.T.Hansen+,ApJ, 858, 92, 2018	23 02 22.9	-68 33 23.3	5063	2.29	-2.64	-2.64	
J230430.2+015517	C.M.Sakari+,ApJ, 868, 110, 2018	23 04 30.24	+01 55 15.6	4613	1.24	-2.46	-2.46	
J23044914-4243477	T.T.Hansen+,ApJ, 858, 92, 2018	23 04 49.1	-42 43 47.8	4733	2.12	-2.43	-2.43	
J23130003-4507066	T.T.Hansen+,ApJ, 858, 92, 2018	23 13 00.0	-45 07 06.6	4612	0.95	-2.64	-2.64	
J2323+0342	H.Li+,ApJ, 931, 147, 2022	23 23 13.56	+03 42 54.55	6166	4.18	-2.33	-2.34	-0.11
J2323+2236	H.Li+,ApJ, 931, 147, 2022	23 23 01.54	+22 36 01.32	6137	4.32	-2.34	-2.34	0.21
J2325+0346	H.Li+,ApJ, 931, 147, 2022	23 25 23.33	+03 46 22.18	6200	4.01	-2.18	-2.18	0.93
J232519.0-081554	C.M.Sakari+,ApJ, 868, 110, 2018	23 25 18.96	-08 15 54.0	4995	1.54	-2.3	-2.3	
J23265258-0159248	T.T.Hansen+,ApJ, 858, 92, 2018	23 26 52.6	-01 59 24.8	4360	0.45	-3.13	-3.13	
J23310716-0223301	T.T.Hansen+,ApJ, 858, 92, 2018	23 31 07.2	-02 23 30.1	5050	1.7	-2.28	-2.28	
J2333+0505	H.Li+,ApJ, 931, 147, 2022	23 33 25.57	+05 05 07.80	5035	2.05	-2.43	-2.43	-0.03
J2333+1756	H.Li+,ApJ, 931, 147, 2022	23 33 24.57	+17 56 10.14	4736	1.74	-3.22	-3.22	-0.17
J23362202-5607498	T.T.Hansen+,ApJ, 858, 92, 2018	23 36 22.0	-56 07 49.8	4630	1.28	-2.06	-2.06	
J2344+0204	H.Li+,ApJ, 931, 147, 2022	23 44 32.83	+02 04 19.61	6222	4.48	-2.75	-2.76	-0.32
J2347+2851	H.Li+,ApJ, 931, 147, 2022	23 47 59.58	+28 51 30.70	4864	1.88	-2.36	-2.36	0.45
J2349+3119	H.Li+,ApJ, 931, 147, 2022	23 49 29.60	+31 19 54.15	5064	2.5	-2.01	-2.01	0.13
J2350+0236	H.Li+,ApJ, 931, 147, 2022	23 50 58.80	+02 36 15.44	6366	4.2	-2.97	-2.97	-0.17
J235210.2-534929	G.R.Ruchti+,ApJ, 737, 9, 2011	23 52 10.32	-53 49 30.0	4492	0.87	-2.25	-2.25	
J2353+0714	H.Li+,ApJ, 931, 147, 2022	23 53 33.30	+07 14 00.21	4611	1.48	-3.7	-3.7	0.24
KIC10328894	T.Matsuno+,ApJ, 912, 72, 2021			5018	2.405	-1.85	-2.07	-0.13
KIC12017985	T.Matsuno+,ApJ, 912, 72, 2021			4945	2.175	-1.844	-2.06	-0.13
KIC5439372	T.Matsuno+,ApJ, 912, 72, 2021			4835	1.716	-2.479	-2.58	
KIC6279038	T.Matsuno+,ApJ, 912, 72, 2021			4761	1.654	-2.055	-2.13	0
KIC6520576	T.Matsuno+,ApJ, 912, 72, 2021			4971	2.169	-2.289	-2.38	0.99
KIC7191496	T.Matsuno+,ApJ, 912, 72, 2021			4903	2.122	-2.076	-2.12	-0.09
KIC7693833	T.Matsuno+,ApJ, 912, 72, 2021			5094	2.422	-2.265	-2.4	-0.28
LAMOSTJ0006+1057	H.Li+,ApJ, 798, 110, 2015	00 06 17.20	+10 57 41.8	4520	0.6	-3.26	-3.26	0.07
LAMOSTJ0102+0428	H.Li+,ApJ, 798, 110, 2015	01 02 12.66	+04 28 24.2	4540	0.6	-2.75	-2.75	0.1
LAMOSTJ0126+0135	H.Li+,ApJ, 798, 110, 2015	01 26 58.58	+01 35 15.4	4330	0.1	-3.57	-3.57	0.08
LAMOSTJ0257-0022	H.Li+,ApJ, 798, 110, 2015	02 57 06.93	-00 22 33.7	6330	4.2	-2.24	-2.24	
LAMOSTJ0326+0202	H.Li+,ApJ, 798, 110, 2015	03 26 53.80	+02 02 28.0	4700	1.1	-3.36	-3.36	0.58
LAMOSTJ0343-0227	H.Li+,ApJ, 798, 110, 2015	03 43 22.87	-02 27 56.1	4790	1.5	-2.42	-2.42	-0.56
LAMOSTJ055408.54+523559.0	H.Li+,ApJ, 852, L31, 2018	05 54 08.54	+52 35 59.0	5638	1.8	-2.03	-2.03	0.75
LAMOSTJ062647.91+603254.0	H.Li+,ApJ, 852, L31, 2018	06 26 47.91	+60 32 54.0	5885	3.45	-2.29	-2.29	0.27
LAMOSTJ070542.30+255226.6	H.Li+,ApJ, 852, L31, 2018	07 05 42.30	+25 52 26.6	5269	2.5	-3.19	-3.19	1.37
LAMOSTJ071422.66+160042.5	H.Li+,ApJ, 852, L31, 2018	07 14 22.6362389785	+16 00 42.507197180	5179	2.4	-2.16	-2.16	-0.39
LAMOSTJ074102.07+213246.6	H.Li+,ApJ, 852, L31, 2018	07 41 02.07	+21 32 46.6	6142	3.65	-2.33	-2.33	0.1
LAMOSTJ085208.07+262730.1	H.Li+,ApJ, 852, L31, 2018	08 52 08.07	+26 27 30.1	5872	3.55	-2.13	-2.13	0.21
LAMOSTJ105433.09+052812.6	M.K.Mardini+,ApJ, 875, 89, 2019	10 54 33.10	+05 28 12.7	5030	1.88	-3.3	-3.3	0.31
